Year,STL1,STL2,STL3,HEFA1,HEFA2,HEFA3,HEFA4,PBTL1,PBTL2,PBTL3,PBTL4,BTL,PTL1,PTL2,PTL3,PTL4
2020,4.17491,3.926389,2.768726,0.884692,0.651677,0.520375,0.437628,3.437555,2.009427,1.204689,0.697542,0.47383,9.274506,5.097407,2.743649,1.260305
2025,3.935288,3.68858,2.539362,0.874663,0.640586,0.507809,0.425205,3.381248,1.946612,1.13284,0.626563,0.424288,9.125911,4.929778,2.549595,1.068797
2030,3.634134,3.389597,2.250492,0.86463,0.628465,0.493546,0.410695,3.32034,1.872908,1.046,0.538215,0.371357,8.992629,4.75907,2.340465,0.855255
2035,3.37411,3.131241,1.999905,0.857665,0.619629,0.482396,0.39961,3.265172,1.806271,0.965184,0.457797,0.315834,8.909276,4.642172,2.182096,0.69805
2040,3.2157,2.973908,1.847589,0.854267,0.615311,0.476205,0.393222,3.227748,1.763211,0.910642,0.402047,0.27184,8.88037,4.596782,2.10312,0.615543
2045,3.13205,2.891182,1.769167,0.85174,0.612317,0.472531,0.389413,3.194707,1.727309,0.870573,0.361149,0.227821,8.863835,4.571876,2.066026,0.576023
2050,3.05859,2.818596,1.700652,0.849336,0.609285,0.469381,0.386246,3.165528,1.694279,0.83682,0.3273,0.189458,8.847446,4.544222,2.036261,0.545978
