Year,STL1,STL2,STL3,HEFA1,HEFA2,HEFA3,HEFA4,PBTL1,PBTL2,PBTL3,PBTL4,BTL,PTL1,PTL2,PTL3,PTL4
2020,4.17491,3.926389,2.768726,0.884692,0.651677,0.520375,0.437628,3.437555,2.009427,1.204689,0.697542,0.47383,9.274506,5.097407,2.743649,1.260305
2025,4.048542,3.800854,2.647074,0.880388,0.646575,0.51433,0.431549,3.412199,1.979182,1.168664,0.66131,0.452758,9.213722,5.022322,2.651657,1.167709
2030,3.94538,3.698453,2.548214,0.876691,0.642115,0.509255,0.426333,3.387821,1.950125,1.135841,0.627618,0.430205,9.162917,4.957834,2.576155,1.089665
2035,3.834453,3.588335,2.441864,0.872466,0.637093,0.50367,0.420787,3.355437,1.912859,1.095125,0.58714,0.395432,9.104172,4.884807,2.493036,1.007241
2040,3.748365,3.503017,2.360137,0.868603,0.632676,0.498948,0.416098,3.321508,1.875537,1.055932,0.548151,0.354646,9.052268,4.822983,2.425739,0.940542
2045,3.67767,3.432964,2.293069,0.865182,0.628707,0.494858,0.412027,3.296457,1.847125,1.026776,0.519117,0.32597,9.003609,4.764491,2.365071,0.880229
2050,3.617637,3.373579,2.236707,0.861917,0.625082,0.491124,0.408424,3.272878,1.82134,1.000321,0.493459,0.298007,8.958126,4.712556,2.311177,0.828668
